id,time(utc timestamp),amount(USD),price,side
0,1617354000424000,1000,60892.5,buy
1,1617354061313000,1000,60851.5,buy
2,1617354120724000,1000,60855.0,buy
3,1617354181857000,1000,60846.0,buy
4,1617354240563000,1000,60826.0,buy
5,1617354301097000,1000,60843.0,buy
6,1617354362982000,1000,60804.5,buy
7,1617354422217000,1000,60822.5,buy
8,1617354482485000,1000,60835.5,buy
9,1617354542499000,1000,60832.0,buy
10,1617354601677000,1000,60850.5,buy
11,1617354663479000,1000,60902.0,buy
12,1617354720951000,1000,60879.0,buy
13,1617354780702000,1000,60825.0,buy
14,1617354841792000,1000,60816.0,buy
15,1617354900899000,1000,60727.5,buy
16,1617354966644000,1000,60828.0,buy
17,1617355028885000,1000,60804.5,buy
18,1617355080789000,1000,60755.0,buy
19,1617355143782000,1000,60770.5,buy
20,1617355203698000,1000,60731.0,buy
21,1617355260975000,1000,60645.0,buy
22,1617355323773000,1000,60743.0,buy
23,1617355381169000,1000,60738.5,buy
24,1617355446637000,1000,60766.5,buy
25,1617355500533000,1000,60828.5,buy
26,1617355561832000,1000,60826.0,buy
27,1617355621343000,1000,60793.0,buy
28,1617355688141000,1000,60829.0,buy
29,1617355762734000,1000,60846.0,buy
30,1617355800778000,1000,60833.5,buy
31,1617355860962000,1000,60836.0,buy
32,1617355921660000,1000,60838.5,buy
33,1617355990886000,1000,60865.0,buy
34,1617356040530000,1000,60867.0,buy
35,1617356100629000,1000,60929.0,buy
36,1617356161273000,1000,60928.0,buy
37,1617356220861000,1000,60931.0,buy
38,1617356281123000,1000,60915.5,buy
39,1617356397932000,110.0,60928.5,buy
40,1617356397932000,890.0,60974.0,buy
41,1617356427399000,1000,60992.0,buy
42,1617356469028000,1000,60975.5,buy
43,1617356521676000,1000,61004.5,buy
44,1617356581724000,1000,60973.5,buy
45,1617356640597000,1000,60976.5,buy
46,1617356701080000,1000,60978.5,buy
47,1617356760517000,1000,60960.0,buy
48,1617356823992000,1000,60978.0,buy
49,1617356880721000,1000,61055.5,buy
50,1617356940603000,1000,61023.0,buy
51,1617357002276000,1000,61039.5,buy
52,1617357061689000,1000,61039.5,buy
53,1617357122111000,1000,61039.5,buy
54,1617357180942000,1000,60993.5,buy
55,1617357241950000,1000,61019.5,buy
56,1617357302561000,1000,61015.0,buy
57,1617357361310000,1000,60989.0,buy
58,1617357421192000,1000,61020.0,buy
59,1617357480634000,1000,61015.5,buy
60,1617357542057000,1000,61015.5,buy
